No,Device No1,Device No2,Category,Row_1,Row_2,Row_3,Row_4,Direct_Input,Confirm,Note
3341,M3341,,警報,警報,工程中,注湯ﾗｲﾝ,枠送り中,,警報    工程中  注湯ﾗｲﾝ 枠送り中,
3342,M3342,,警報,警報,工程中,型交換,作業中,,警報    工程中  型交換  作業中  ,
3343,M3343,,警報,警報,工程中,造型,作業中,,警報    工程中  造型    作業中  ,
3344,M3344,,警報,警報,工程中,製品回収,故障連絡,,警報    工程中  製品回収故障連絡,
3345,M3345,,警報,警報,工程中,,,,警報    工程中                  ,
3346,M3346,,警報,警報,工程中,掛け堰,作業中,,警報    工程中  掛け堰  作業中  ,
3347,M3347,,警報,警報,工程中,砂処理,故障中,,警報    工程中  砂処理  故障中  ,
3348,M3348,,警報,警報,工程中,砂切れ中,,,警報    工程中  砂切れ中        ,
3349,M3349,,警報,警報,工程中,故障中,,,警報    工程中  故障中          ,
3350,M3350,,警報,警報,工程中,中子待ち,,,警報    工程中  中子待ち        ,
3351,M3351,,警報,警報,工程中,注湯待ち,,,警報    工程中  注湯待ち        ,
3352,M3352,,警報,警報,工程中,造型枠数,確認中,,警報    工程中  造型枠数確認中  ,
3353,M3353,,警報,警報,工程中,型交換,起動,,警報    工程中  型交換  起動    ,
3354,M3354,,警報,警報,工程中,起動,停止解除,,警報    工程中  起動    停止解除,
3355,M3355,,警報,警報,工程中,解枠待ち,,,警報    工程中  解枠待ち        ,
3356,M3356,,警報,警報,工程中,湯口前半,,,警報    工程中  湯口前半        ,
3357,M3357,,警報,警報,工程中,湯口後半,,,警報    工程中  湯口後半        ,
3358,M3358,,警報,警報,工程中,測定前半,,,警報    工程中  測定前半        ,
3359,M3359,,警報,警報,工程中,湯口ﾌﾞﾛｰ,,,警報    工程中  湯口ﾌﾞﾛｰ        ,
3360,M3360,,警報,警報,,,,,警報                            ,
3361,M3361,,警報,警報,,,,,警報                            ,
3362,M3362,,警報,警報,,,,,警報                            ,
3363,M3363,,警報,警報,,,,,警報                            ,
3364,M3364,,警報,警報,,,,,警報                            ,
3365,M3365,,警報,警報,工程中,測定後半,,,警報    工程中  測定後半        ,
3366,M3366,,警報,警報,工程中,掛け堰,,,警報    工程中  掛け堰          ,
3367,M3367,,警報,警報,,,,,警報                            ,
3368,M3368,,警報,警報,,,,,警報                            ,
3369,M3369,,警報,警報,,,,,警報                            ,
3370,M3370,,BOXランプ,BOX_LAMP,操作回路,OK,,,BOX_LAMP操作回路OK              ,
3371,M3371,,BOXランプ,,,,,,                                ,
3372,M3372,,BOXランプ,,,,,,                                ,
3373,M3373,,BOXランプ,,,,,,                                ,
3374,M3374,,BOXランプ,,,,,,                                ,
3375,M3375,,BOXランプ,BOX-34,光電ｾﾝｻ,ｴﾗｰﾘｾｯﾄ,,,BOX-34  光電ｾﾝｻ ｴﾗｰﾘｾｯﾄ         ,
3376,M3376,,BOXランプ,,,,,,                                ,
3377,M3377,,BOXランプ,,,,,,                                ,
3378,M3378,,BOXランプ,,,,,,                                ,
3379,M3379,,BOXランプ,,,,,,                                ,
3380,M3380,,BOXランプ,,,,,,                                ,
3381,M3381,,BOXランプ,,,,,,                                ,
3382,M3382,,BOXランプ,,,,,,                                ,
3383,M3383,,BOXランプ,,,,,,                                ,
3384,M3384,,BOXランプ,,,,,,                                ,
3385,M3385,,BOXランプ,,,,,,                                ,
3386,M3386,,BOXランプ,,,,,,                                ,
3387,M3387,,BOXランプ,,,,,,                                ,
3388,M3388,,BOXランプ,,,,,,                                ,
3389,M3389,,BOXランプ,,,,,,                                ,
3390,M3390,,BOXランプ,,,,,,                                ,
3391,M3391,,BOXランプ,,,,,,                                ,
3392,M3392,,BOXランプ,,,,,,                                ,
3393,M3393,,BOXランプ,,,,,,                                ,
3394,M3394,,BOXランプ,,,,,,                                ,
3395,M3395,,BOXランプ,,,,,,                                ,
3396,M3396,,BOXランプ,,,,,,                                ,
3397,M3397,,BOXランプ,,,,,,                                ,
3398,M3398,,BOXランプ,,,,,,                                ,
3399,M3399,,BOXランプ,,,,,,                                ,
3400,M3400,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3401,M3401,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3402,M3402,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3403,M3403,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
